Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment
H.R. 135,https://www.congress.gov/bill/119th-congress/house-bill/135,119th Congress (2025-2026),Manatee Protection Act of 2025,"Buchanan, Vern [Rep.-R-FL-16] (Introduced 01/03/2025)",1/3/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/3/2025,5,,,,,
H.R. 123,https://www.congress.gov/bill/119th-congress/house-bill/123,119th Congress (2025-2026),Improving Science in Chemical Assessments Act,"Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",1/3/2025,"House - Science, Space, and Technology, Energy and Commerce","Referred to the Committee on Science, Space, and Technology, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/3/2025,0,,,,,
H.R. 106,https://www.congress.gov/bill/119th-congress/house-bill/106,119th Congress (2025-2026),LIST Act of 2025,"Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",1/3/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/3/2025,0,,,,,
H.R. 65,https://www.congress.gov/bill/119th-congress/house-bill/65,119th Congress (2025-2026),Armed Forces Endangered Species Exemption Act,"Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",1/3/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/3/2025,1,,,,,
H.J.Res. 38,https://www.congress.gov/bill/119th-congress/house-joint-resolution/38,119th Congress (2025-2026),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Phasedown of Hydrofluorocarbons: Management of Certain Hydrofluorocarbons and Substitutes Under the American Innovation and Manufacturing Act of 2020"".","Dunn, Neal P. [Rep.-R-FL-2] (Introduced 02/07/2025)",2/7/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2/7/2025,5,,,,,
H.J.Res. 35,https://www.congress.gov/bill/119th-congress/house-joint-resolution/35,119th Congress (2025-2026),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Waste Emissions Charge for Petroleum and Natural Gas Systems: Procedures for Facilitating Compliance, Including Netting and Exemptions"".","Pfluger, August [Rep.-R-TX-11] (Introduced 02/04/2025)",2/4/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2/4/2025,13,,,,,
H.J.Res. 34,https://www.congress.gov/bill/119th-congress/house-joint-resolution/34,119th Congress (2025-2026),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Trichloroethylene (TCE); Regulation Under the Toxic Substances Control Act (TSCA)"".","Harshbarger, Diana [Rep.-R-TN-1] (Introduced 02/04/2025)",2/4/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2/4/2025,1,,,,,
H.J.Res. 30,https://www.congress.gov/bill/119th-congress/house-joint-resolution/30,119th Congress (2025-2026),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Phasedown of Hydrofluorocarbons: Management of Certain Hydrofluorocarbons and Substitutes Under the American Innovation and Manufacturing Act of 2020"".","Dunn, Neal P. [Rep.-R-FL-2] (Introduced 01/24/2025)",1/24/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1/24/2025,4,,,,,
H.J.Res. 27,https://www.congress.gov/bill/119th-congress/house-joint-resolution/27,119th Congress (2025-2026),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Trichloroethylene (TCE); Regulation Under the Toxic Substances Control Act (TSCA)"".","Harshbarger, Diana [Rep.-R-TN-1] (Introduced 01/22/2025)",1/22/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1/22/2025,1,,,,,
H.J.Res. 26,https://www.congress.gov/bill/119th-congress/house-joint-resolution/26,119th Congress (2025-2026),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Greenhouse Gas Emissions Standards for Heavy-Duty Vehicles-Phase 3"".","Fulcher, Russ [Rep.-R-ID-1] (Introduced 01/22/2025)",1/22/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1/22/2025,0,,,,,
H.J.Res. 18,https://www.congress.gov/bill/119th-congress/house-joint-resolution/18,119th Congress (2025-2026),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""National Primary Drinking Water Regulations for Lead and Copper: Improvements (LCRI)"".","Palmer, Gary J. [Rep.-R-AL-6] (Introduced 01/13/2025)",1/13/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1/13/2025,0,,,,,
H.Res. 68,https://www.congress.gov/bill/119th-congress/house-resolution/68,119th Congress (2025-2026),Expressing strong disapproval of the President's announcement to withdraw the United States from the Paris Agreement.,"Schneider, Bradley Scott [Rep.-D-IL-10] (Introduced 01/24/2025)",1/24/2025,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,1/24/2025,159,,,,,
S. 351,https://www.congress.gov/bill/119th-congress/senate-bill/351,119th Congress (2025-2026),STEWARD Act of 2025,"Capito, Shelley Moore [Sen.-R-WV] (Introduced 01/30/2025)",1/30/2025,Senate - Environment and Public Works,Placed on Senate Legislative Calendar under General Orders. Calendar No. 7.,2/5/2025,2,,,,,
S. 347,https://www.congress.gov/bill/119th-congress/senate-bill/347,119th Congress (2025-2026),Brownfields Reauthorization Act of 2025,"Capito, Shelley Moore [Sen.-R-WV] (Introduced 01/30/2025)",1/30/2025,Senate - Environment and Public Works,Placed on Senate Legislative Calendar under General Orders. Calendar No. 6.,2/5/2025,1,,,,,
S. 85,https://www.congress.gov/bill/119th-congress/senate-bill/85,119th Congress (2025-2026),Continued Rapid Ohia Death Response Act of 2025,"Hirono, Mazie K. [Sen.-D-HI] (Introduced 01/14/2025)",1/14/2025,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",1/14/2025,0,,,,,
S.J.Res. 14,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/14,119th Congress (2025-2026),"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Phasedown of Hydrofluorocarbons: Management of Certain Hydrofluorocarbons and Substitutes Under the American Innovation and Manufacturing Act of 2020"".","Marshall, Roger [Sen.-R-KS] (Introduced 02/05/2025)",2/5/2025,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,2/5/2025,0,,,,,
S.J.Res. 12,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/12,119th Congress (2025-2026),"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Waste Emissions Charge for Petroleum and Natural Gas Systems: Procedures for Facilitating Compliance, Including Netting and Exemptions"".","Hoeven, John [Sen.-R-ND] (Introduced 02/04/2025)",2/4/2025,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,2/4/2025,25,,,,,
S.Res. 36,https://www.congress.gov/bill/119th-congress/senate-resolution/36,119th Congress (2025-2026),"A resolution expressing the sense of the Senate that the United States, States, cities, Tribal nations, businesses, institutions of higher education, and other institutions in the United States should work toward achieving the goals of the Paris Agreement.","Markey, Edward J. [Sen.-D-MA] (Introduced 01/24/2025)",1/24/2025,Senate - Foreign Relations,Referred to the Committee on Foreign Relations. (text: CR S372-373),1/24/2025,21,,,,,
H.R. 10441,https://www.congress.gov/bill/118th-congress/house-bill/10441,118th Congress (2023-2024),Preventing Mass Casualties from Release of Hydrofluoric Acid at Refineries Act of 2024,"Waters, Maxine [Rep.-D-CA-43] (Introduced 12/16/2024)",12/16/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,12/16/2024,10,,,,,
H.R. 10390,https://www.congress.gov/bill/118th-congress/house-bill/10390,118th Congress (2023-2024),Recovering America’s Wildlife Act of 2024,"Dingell, Debbie [Rep.-D-MI-6] (Introduced 12/12/2024)",12/12/2024,"House - Natural Resources, Budget","Referred to the Committee on Natural Resources, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",12/12/2024,0,,,,,
H.R. 10219,https://www.congress.gov/bill/118th-congress/house-bill/10219,118th Congress (2023-2024),Critically Endangered Animals Conservation Act of 2024,"Huffman, Jared [Rep.-D-CA-2] (Introduced 11/21/2024)",11/21/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,11/21/2024,12,,,,,
H.R. 10207,https://www.congress.gov/bill/118th-congress/house-bill/10207,118th Congress (2023-2024),LNG Public Interest Determination Act of 2024,"Casten, Sean [Rep.-D-IL-6] (Introduced 11/21/2024)",11/21/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,11/21/2024,16,,,,,
H.R. 10150,https://www.congress.gov/bill/118th-congress/house-bill/10150,118th Congress (2023-2024),Half-Century Update for Water Access and Affordability Act,"Tlaib, Rashida [Rep.-D-MI-12] (Introduced 11/15/2024)",11/15/2024,"House - Transportation and Infrastructure, Energy and Commerce, Ways and Means, Oversight and Accountability","Referred to the Committee on Transportation and Infrastructure, and in addition to the Committees on Energy and Commerce, Ways and Means, and Oversight and Accountability, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",11/15/2024,21,,,,,
H.R. 10121,https://www.congress.gov/bill/118th-congress/house-bill/10121,118th Congress (2023-2024),Youth Climate Leadership Act of 2024,"Frost, Maxwell [Rep.-D-FL-10] (Introduced 11/14/2024)",11/14/2024,"House - Energy and Commerce, Natural Resources, Agriculture","Referred to the Committee on Energy and Commerce, and in addition to the Committees on Natural Resources, and Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",11/14/2024,4,,,,,
H.R. 10117,https://www.congress.gov/bill/118th-congress/house-bill/10117,118th Congress (2023-2024),Targeting Environmental and Climate Recklessness Act of 2024,"Escobar, Veronica [Rep.-D-TX-16] (Introduced 11/13/2024)",11/13/2024,"House - Foreign Affairs, Judiciary, Financial Services, Oversight and Accountability, Ways and Means",Referred to the Subcommittee on Trade.,12/17/2024,0,,,,,
H.R. 10074,https://www.congress.gov/bill/118th-congress/house-bill/10074,118th Congress (2023-2024),Carbon Cost Act of 2024,"Neguse, Joe [Rep.-D-CO-2] (Introduced 10/29/2024)",10/29/2024,House - House Administration,Referred to the House Committee on House Administration.,10/29/2024,3,,,,,
H.R. 10023,https://www.congress.gov/bill/118th-congress/house-bill/10023,118th Congress (2023-2024),Legacy Mine Cleanup Act of 2024,"Crane, Elijah [Rep.-R-AZ-2] (Introduced 10/22/2024)",10/22/2024,"House - Energy and Commerce, Transportation and Infrastructure",Referred to the Subcommittee on Water Resources and Environment.,10/23/2024,0,,,,,
H.R. 9981,https://www.congress.gov/bill/118th-congress/house-bill/9981,118th Congress (2023-2024),Ban Atrazine Toxicants Act,"Nadler, Jerrold [Rep.-D-NY-12] (Introduced 10/11/2024)",10/11/2024,House - Agriculture,"Referred to the Subcommittee on Conservation, Research, and Biotechnology.",11/4/2024,3,,,,,
H.R. 9951,https://www.congress.gov/bill/118th-congress/house-bill/9951,118th Congress (2023-2024),RESTART Communities Act of 2024,"Stevens, Haley M. [Rep.-D-MI-11] (Introduced 10/08/2024)",10/8/2024,"House - Transportation and Infrastructure, Financial Services, Energy and Commerce","Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",10/9/2024,1,,,,,
H.R. 9945,https://www.congress.gov/bill/118th-congress/house-bill/9945,118th Congress (2023-2024),North American Grasslands Conservation Act of 2024,"Mace, Nancy [Rep.-R-SC-1] (Introduced 10/08/2024)",10/8/2024,"House - Natural Resources, Agriculture","Referred to the Subcommittee on Conservation, Research, and Biotechnology.",11/4/2024,5,,,,,
H.R. 9885,https://www.congress.gov/bill/118th-congress/house-bill/9885,118th Congress (2023-2024),Nationwide Consumer and Fuel Retailer Choice Act of 2024,"Smith, Adrian [Rep.-R-NE-3] (Introduced 09/27/2024)",9/27/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,9/27/2024,46,,,,,
H.R. 9861,https://www.congress.gov/bill/118th-congress/house-bill/9861,118th Congress (2023-2024),TREAT Water Act,"Caraveo, Yadira [Rep.-D-CO-8] (Introduced 09/27/2024)",9/27/2024,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",9/27/2024,1,,,,,
H.R. 9808,https://www.congress.gov/bill/118th-congress/house-bill/9808,118th Congress (2023-2024),Voluntary Food Climate Labeling Act,"Casten, Sean [Rep.-D-IL-6] (Introduced 09/25/2024)",9/25/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,9/25/2024,1,,,,,
H.R. 9786,https://www.congress.gov/bill/118th-congress/house-bill/9786,118th Congress (2023-2024),Nuclear Waste Administration Act of 2024,"Levin, Mike [Rep.-D-CA-49] (Introduced 09/24/2024)",9/24/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,9/24/2024,3,,,,,
H.R. 9776,https://www.congress.gov/bill/118th-congress/house-bill/9776,118th Congress (2023-2024),Wildlife Corridors and Habitat Connectivity Conservation Act of 2024,"Beyer, Donald S. [Rep.-D-VA-8] (Introduced 09/24/2024)",9/24/2024,"House - Natural Resources, Agriculture, Transportation and Infrastructure, Armed Services",Referred to the Subcommittee on Coast Guard and Maritime Transportation.,9/25/2024,3,,,,,
H.R. 9676,https://www.congress.gov/bill/118th-congress/house-bill/9676,118th Congress (2023-2024),Accelerating a Circular Economy for Plastics and Recycling Innovation Act of 2024,"Bucshon, Larry [Rep.-R-IN-8] (Introduced 09/19/2024)",9/19/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,9/19/2024,1,,,,,
H.R. 9652,https://www.congress.gov/bill/118th-congress/house-bill/9652,118th Congress (2023-2024),Jobs for a Carbon Free Transportation System Act,"DeSaulnier, Mark [Rep.-D-CA-10] (Introduced 09/18/2024)",9/18/2024,"House - Transportation and Infrastructure, Ways and Means, Education and the Workforce, Energy and Commerce","Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials.",9/19/2024,0,,,,,
H.R. 9650,https://www.congress.gov/bill/118th-congress/house-bill/9650,118th Congress (2023-2024),Water Advanced Technologies for Efficient Resource Use Act of 2024,"Cartwright, Matt [Rep.-D-PA-8] (Introduced 09/18/2024)",9/18/2024,"House - Ways and Means, Energy and Commerce, Oversight and Accountability","Referred to the Committee on Ways and Means, and in addition to the Committees on Energy and Commerce, and Oversight and Accountability, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",9/18/2024,18,,,,,
H.R. 9640,https://www.congress.gov/bill/118th-congress/house-bill/9640,118th Congress (2023-2024),Border Water Quality Restoration and Protection Act,"Vargas, Juan [Rep.-D-CA-52] (Introduced 09/17/2024)",9/17/2024,"House - Transportation and Infrastructure, Energy and Commerce, Natural Resources, Foreign Affairs, Budget",Referred to the Subcommittee on Water Resources and Environment.,9/18/2024,5,,,,,
H.R. 9574,https://www.congress.gov/bill/118th-congress/house-bill/9574,118th Congress (2023-2024),Stop CARB Act of 2024,"Nehls, Troy E. [Rep.-R-TX-22] (Introduced 09/12/2024)",9/12/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,9/12/2024,9,,,,,
H.R. 9558,https://www.congress.gov/bill/118th-congress/house-bill/9558,118th Congress (2023-2024),Exported Carbon Emissions Report Act of 2024,"Casten, Sean [Rep.-D-IL-6] (Introduced 09/12/2024)",9/12/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,9/12/2024,0,,,,,
H.R. 9533,https://www.congress.gov/bill/118th-congress/house-bill/9533,118th Congress (2023-2024),ESA Amendments Act of 2024,"Westerman, Bruce [Rep.-R-AR-4] (Introduced 09/10/2024)",9/10/2024,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 717.",12/16/2024,11,,,,,
H.R. 9327,https://www.congress.gov/bill/118th-congress/house-bill/9327,118th Congress (2023-2024),Sustainable Aviation Fuel Information Act,"Flood, Mike [Rep.-R-NE-1] (Introduced 08/09/2024)",8/9/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,8/9/2024,8,,,,,
H.R. 9319,https://www.congress.gov/bill/118th-congress/house-bill/9319,118th Congress (2023-2024),SCOPE Act,"Schiff, Adam B. [Rep.-D-CA-28] (Introduced 08/06/2024)",8/6/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,8/6/2024,11,,,,,
H.R. 9283,https://www.congress.gov/bill/118th-congress/house-bill/9283,118th Congress (2023-2024),21st Century Wildlife Enhancement and Partnership Act,"Pfluger, August [Rep.-R-TX-11] (Introduced 08/02/2024)",8/2/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,8/2/2024,2,,,,,
H.R. 9277,https://www.congress.gov/bill/118th-congress/house-bill/9277,118th Congress (2023-2024),REG Act,"Newhouse, Dan [Rep.-R-WA-4] (Introduced 08/02/2024)",8/2/2024,"House - Judiciary, Natural Resources, Energy and Commerce, Science, Space, and Technology, Foreign Affairs, Financial Services, Oversight and Accountability, Agriculture, Transportation and Infrastructure, Intelligence (Permanent Select), Armed Services",Referred to the Subcommittee on Water Resources and Environment.,8/3/2024,6,,,,,
H.R. 9230,https://www.congress.gov/bill/118th-congress/house-bill/9230,118th Congress (2023-2024),Climate Pollution Standard and Community Investment Act of 2024,"Tonko, Paul [Rep.-D-NY-20] (Introduced 07/30/2024)",7/30/2024,"House - Energy and Commerce, Ways and Means, Education and the Workforce, Science, Space, and Technology",Referred to the Subcommittee on Trade.,12/17/2024,0,,,,,
H.R. 9212,https://www.congress.gov/bill/118th-congress/house-bill/9212,118th Congress (2023-2024),REMOVE Act of 2024,"Kuster, Ann M. [Rep.-D-NH-2] (Introduced 07/30/2024)",7/30/2024,"House - Science, Space, and Technology, Energy and Commerce","Referred to the Committee on Science, Space, and Technology, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",7/30/2024,2,,,,,
H.R. 9136,https://www.congress.gov/bill/118th-congress/house-bill/9136,118th Congress (2023-2024),IMPACT Act 2.0,"Foushee, Valerie P. [Rep.-D-NC-4] (Introduced 07/25/2024)",7/25/2024,"House - Transportation and Infrastructure, Energy and Commerce, Education and the Workforce",Referred to the Subcommittee on Highways and Transit.,7/26/2024,1,,,,,
H.R. 9131,https://www.congress.gov/bill/118th-congress/house-bill/9131,118th Congress (2023-2024),Indoor Air Quality and Healthy Schools Act of 2024,"Tonko, Paul [Rep.-D-NY-20] (Introduced 07/25/2024)",7/25/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,7/25/2024,11,,,,,
H.R. 9120,https://www.congress.gov/bill/118th-congress/house-bill/9120,118th Congress (2023-2024),SAFE Act,"Cartwright, Matt [Rep.-D-PA-8] (Introduced 07/24/2024)",7/24/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,7/24/2024,14,,,,,
H.R. 9097,https://www.congress.gov/bill/118th-congress/house-bill/9097,118th Congress (2023-2024),Lake Champlain Basin Program Reauthorization Act of 2024,"Balint, Becca [Rep.-D-VT-At Large] (Introduced 07/23/2024)",7/23/2024,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,7/24/2024,0,,,,,
H.R. 9013,https://www.congress.gov/bill/118th-congress/house-bill/9013,118th Congress (2023-2024),International Maritime Pollution Accountability Act of 2024,"Matsui, Doris O. [Rep.-D-CA-7] (Introduced 07/11/2024)",7/11/2024,"House - Energy and Commerce, Transportation and Infrastructure, Science, Space, and Technology, Ways and Means, Natural Resources",Referred to the Subcommittee on Trade.,12/17/2024,4,,,,,
H.R. 8986,https://www.congress.gov/bill/118th-congress/house-bill/8986,118th Congress (2023-2024),Show the Data Act of 2024,"Pfluger, August [Rep.-R-TX-11] (Introduced 07/10/2024)",7/10/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,7/10/2024,0,,,,,
H.R. 8978,https://www.congress.gov/bill/118th-congress/house-bill/8978,118th Congress (2023-2024),Voluntary Sustainable Apparel Labeling Act,"Casten, Sean [Rep.-D-IL-6] (Introduced 07/10/2024)",7/10/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,7/10/2024,3,,,,,
H.R. 8916,https://www.congress.gov/bill/118th-congress/house-bill/8916,118th Congress (2023-2024),Clean Water SRF Parity Act of 2024,"Bost, Mike [Rep.-R-IL-12] (Introduced 07/02/2024)",7/2/2024,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,7/3/2024,3,,,,,
H.R. 8899,https://www.congress.gov/bill/118th-congress/house-bill/8899,118th Congress (2023-2024),Ko’ko’ BIRDS Stamp Act,"Moylan, James C. [Del.-R-GU] (Introduced 06/28/2024)",6/28/2024,"House - Oversight and Accountability, Natural Resources","Referred to the Committee on Oversight and Accountability, and in addition to the Committee on Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",6/28/2024,4,,,,,
H.R. 8891,https://www.congress.gov/bill/118th-congress/house-bill/8891,118th Congress (2023-2024),"To amend the Federal Water Pollution Control Act with respect to San Francisco Bay restoration, and for other purposes.","Huffman, Jared [Rep.-D-CA-2] (Introduced 06/28/2024)",6/28/2024,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,7/1/2024,9,,,,,
H.R. 8831,https://www.congress.gov/bill/118th-congress/house-bill/8831,118th Congress (2023-2024),Emergency OASIS Act,"Ruiz, Raul [Rep.-D-CA-25] (Introduced 06/25/2024)",6/25/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,6/25/2024,0,,,,,
H.R. 8811,https://www.congress.gov/bill/118th-congress/house-bill/8811,118th Congress (2023-2024),America’s Conservation Enhancement Reauthorization Act of 2024,"Wittman, Robert J. [Rep.-R-VA-1] (Introduced 06/21/2024)",6/21/2024,"House - Natural Resources, Transportation and Infrastructure, Agriculture, Energy and Commerce","Placed on the Union Calendar, Calendar No. 778.",12/19/2024,5,,,,,
H.R. 8783,https://www.congress.gov/bill/118th-congress/house-bill/8783,118th Congress (2023-2024),Northwest Straits Marine Conservation Initiative Reauthorization Act of 2024,"Larsen, Rick [Rep.-D-WA-2] (Introduced 06/18/2024)",6/18/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,6/18/2024,6,,,,,
H.R. 8779,https://www.congress.gov/bill/118th-congress/house-bill/8779,118th Congress (2023-2024),Convert HABs to Fuel Act,"Donalds, Byron [Rep.-R-FL-19] (Introduced 06/18/2024)",6/18/2024,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",6/18/2024,1,,,,,
H.R. 8676,https://www.congress.gov/bill/118th-congress/house-bill/8676,118th Congress (2023-2024),EMIT LESS Act of 2024,"Crockett, Jasmine [Rep.-D-TX-30] (Introduced 06/11/2024)",6/11/2024,House - Agriculture,"Referred to the Subcommittee on Conservation, Research, and Biotechnology.",8/1/2024,2,,,,,
H.R. 8632,https://www.congress.gov/bill/118th-congress/house-bill/8632,118th Congress (2023-2024),BIOSAFE Act of 2024,"Grothman, Glenn [Rep.-R-WI-6] (Introduced 06/05/2024)",6/5/2024,House - Natural Resources,Subcommittee Hearings Held,9/10/2024,3,,,,,
H.R. 8618,https://www.congress.gov/bill/118th-congress/house-bill/8618,118th Congress (2023-2024),Forest Biomass Emissions Act of 2024,"Thompson, Bennie G. [Rep.-D-MS-2] (Introduced 06/04/2024)",6/4/2024,House - Energy and Commerce,"Referred to the Subcommittee on Environment, Manufacturing, and Critical Materials.",6/7/2024,1,,,,,
H.R. 8579,https://www.congress.gov/bill/118th-congress/house-bill/8579,118th Congress (2023-2024),Onondaga Lake Watershed Improvement Act,"Williams, Brandon [Rep.-R-NY-22] (Introduced 05/28/2024)",5/28/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,5/28/2024,0,,,,,
