Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment
H.R. 375,https://www.congress.gov/bill/119th-congress/house-bill/375,119th Congress (2025-2026),Continued Rapid Ohia Death Response Act of 2025,"Tokuda, Jill N. [Rep.-D-HI-2] (Introduced 01/13/2025)",1/13/2025,"House - Natural Resources, Agriculture | Senate - Agriculture, Nutrition, and Forestry","Received in the Senate and Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",1/24/2025,1,,,,,
H.R. 349,https://www.congress.gov/bill/119th-congress/house-bill/349,119th Congress (2025-2026),Goldie’s Act,"Malliotakis, Nicole [Rep.-R-NY-11] (Introduced 01/13/2025)",1/13/2025,House - Agriculture,Referred to the House Committee on Agriculture.,1/13/2025,6,,,,,
H.R. 313,https://www.congress.gov/bill/119th-congress/house-bill/313,119th Congress (2025-2026),Natural Gas Tax Repeal Act,"Pfluger, August [Rep.-R-TX-11] (Introduced 01/09/2025)",1/9/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1/9/2025,4,,,,,
H.R. 288,https://www.congress.gov/bill/119th-congress/house-bill/288,119th Congress (2025-2026),Long Island Sound Restoration and Stewardship Reauthorization Act of 2025,"LaLota, Nick [Rep.-R-NY-1] (Introduced 01/09/2025)",1/9/2025,"House - Transportation and Infrastructure, Natural Resources",Referred to the Subcommittee on Water Resources and Environment.,1/10/2025,4,,,,,
H.R. 284,https://www.congress.gov/bill/119th-congress/house-bill/284,119th Congress (2025-2026),GLRI Act of 2025,"Joyce, David P. [Rep.-R-OH-14] (Introduced 01/09/2025)",1/9/2025,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,1/10/2025,28,,,,,
H.R. 281,https://www.congress.gov/bill/119th-congress/house-bill/281,119th Congress (2025-2026),Grizzly Bear State Management Act of 2025,"Hageman, Harriet M. [Rep.-R-WY-At Large] (Introduced 01/09/2025)",1/9/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/9/2025,4,,,,,
H.R. 181,https://www.congress.gov/bill/119th-congress/house-bill/181,119th Congress (2025-2026),"To amend the Endangered Species Act of 1973 to provide that artificially propagated animals shall be treated the same under that Act as naturally propagated animals, and for other purposes.","McClintock, Tom [Rep.-R-CA-5] (Introduced 01/03/2025)",1/3/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/3/2025,0,,,,,
H.R. 180,https://www.congress.gov/bill/119th-congress/house-bill/180,119th Congress (2025-2026),Endangered Species Transparency and Reasonableness Act of 2025,"McClintock, Tom [Rep.-R-CA-5] (Introduced 01/03/2025)",1/3/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/3/2025,0,,,,,
H.R. 167,https://www.congress.gov/bill/119th-congress/house-bill/167,119th Congress (2025-2026),Community Reclamation Partnerships Act of 2025,"LaHood, Darin [Rep.-R-IL-16] (Introduced 01/03/2025)",1/3/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/3/2025,0,,,,,
H.R. 161,https://www.congress.gov/bill/119th-congress/house-bill/161,119th Congress (2025-2026),New Source Review Permitting Improvement Act,"Griffith, H. Morgan [Rep.-R-VA-9] (Introduced 01/03/2025)",1/3/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1/3/2025,0,,,,,
